,Unnamed: 0,path,before_sentence,after_sentence
12,12,r1_012.mp3,['ผู้ อจู่ ยุง ลาย ผู้ ไม่ ได้ อยู่   ย่า ไป ควาย ลิ้นเย้ะ'],กูอยู่ยุงลาย กูไม่ได้อยู่หยาย ไอ้ควาย ลิ้น โย่ว โย่ว
13,13,r1_013.mp3,['อ่า  อ่า  อ่า มึก ดี แต่ ตก   นก ึง ไม่ต้ง โชว์สันแรง   โหย'],อ่า อ่า อ่า มึงดีแต่ตบนม มึงไม่ต้องโชว์แสลงโหด
14,14,r1_014.mp3,['ลอด ดี้ จะ ตบ อะไร จะ ตบ หญี ของ คะแนน  โวเดาะ   วั้ว  สังดาห์ หนึ่งหมา'],รอบนี้จะตบอะไร จะตบหีขอคะแนนโหวดหรอ กูว่าสันดานมึงหมาเกิน
15,15,r1_015.mp3,['ไม่ต้อง ประโทร   หลว ให้ อย่าง อบหวย หา เงิน   ณ   หึ มา เป็น กรอง   ทำและ คุณ ทำ มึง ร้อง'],ไม่ต้องมาโชว์รวย ถ้ายังเอาควยหาเงินนะ กูมาเป็นกองทัพละกูทำมึงร้องไห้
16,16,r1_016.mp3,['พวกคุน และ กู ยอม   รับสเจ็ด   แม่ง พอง ได้   คุณะ จิง หิ พรึ่ง นี้ มา ที่ เสือ ต้อง ไป นำใจ'],ควยกูเล็กกูยอมรับ แต่เย็ดแม่งท้องได้ กูจะยิงหีมึงให้เหมือนที่เสือต้องเปรมัย 
17,17,r1_017.mp3,['พึง กระจอก กาจเจอกับ หู พงค ไป ี ล้องสู้ กับ วอตเตอร์ เฟม ไป   ฮู่   พอ โต้  มี แพน้ากาบ'],มึงกระจอก ถ้ามึงเจอกับกูมึงไปร้องสู้กับวันเดอร์เฟรมไป อู่  ขอโทษพี่เฟรมมากราบ
18,18,r1_018.mp3,['น และว กู จับ ไมตะ วา ใน ใจ อยาง จับ น่ม นะ   ฮือ   เพิ่ง คน ดู ฟาคตัว'],แร็ปกูจับไมค์ แต่ว่าในใจอยากจับนมนะ ฮือ มึงควรดูบ้องด้วย
19,19,r1_019.mp3,['และ ทีม มึง ขลาส่ว กับ ภาวภุม  กอง ช่วย   ะ ฮ้า  สันดาหน มื ชี้ ตนยาก   แก้'],และที่มึงขาสวยก็เพราะว่ามุมกล้องช่วยไง อ่า สันดารมึงเหี้ยจนยากแก้
20,20,r1_020.mp3,['ธ้า กวย นบประตัว นำ ฝา บาด วาด แมง เลย สัก   และ พิง ไปต้อง มาตา โฟวย'],ถ้ากูให้นพพะดนมาฝาบาดฟาดแม่งเลยไอ้สัส และมึงไม่ต้องมาตามโวย
21,21,r1_021.mp3,['นักถี มะแกม สีหัว ขาง ชี่ ข้าช้ำตาล โรย ใน สัตว์'],นะ หีมึงเค็มปี๋ ผัวมึงเลยเอาน้ำตาลโรย ไงไอ้สัส ไอ้เหี้ย
22,22,r1_022.mp3,['พ่อม   เขา ให้ มั แล็บ อีส นาว   ตโมง สมอง ไม่ มี เยี่ย นี่ย มัก  ครับ'],เพิ่ม เขาให้มาแร็ปอีสนาว สมง สมอง ไม่มีเหี้ยนี่แม่งแร็ปอีส
23,23,r1_023.mp3,['ก่าว เลย อ้ะ   ว่า เดี๋ยว คุก พลิก แค็ค พราว ตอน ไม่ลานยข มา ตี   พูด บอก  เล็ก คู ทิ้ง ฉั'],ดาวเลย อ้ะ ประเดี๋ยวกูทิค แท็ค พาว ตอนแม่งไลฟ์มาจีบกู บอกเลยกูทิ้งแชท
24,24,r1_024.mp3,['ยาม   อา   เป็น เอคา เอง เป็น ภป ถาก ที่ เรา ไม่ เอา ด้วย กระปวก กรา กลวยมา'],ยาม อ่า เปลี่ยน เอ เค เอ เป็นเพิ่มกาก ที่เราไม่เอาด้วยก็เพราะว่ากล้วยเพิ่ม
25,25,r1_025.mp3,['ตาก ไงา พ้อม   ที่ พ่อ มี อยู่ หรือ กป็ อ้อม ขราด เดียว ตั้ง ต่ำ ให้ ผบ'],กากไงเพิ่ม นี่เพิ่มหิวหรือเพิ่มขาด เดี๋ยวจะจัดให้เพิ่มทุกที อ่า 
26,26,r1_026.mp3,['ขัว เพิ่ม จาก ริม ลก แบลท ว่อยาก จะ ออกซีน   นิสัย ที่ ยาก ป ว่า มัน เป็นมะตา'],ว่าเพิ่มอยาก ที่มึงลงแม็ท หรือว่าอยากจะออกซีน นิสัยที่หยาบคายหรือว่ามันเป็นมาจาก
27,27,r1_027.mp3,['อย่า ไม่ มี ความปิง มาง พอ   เธอ พอ แถ่   อยู่ เหมือน ตึก สีบ ฉัน  ผ้สมาห  ย่าง รู้เล'],มึงด่าไม่มีความจริงมึงพอเถอะ พอแถ อยู่บนตึกสิบชั้นมองมายังรู้เลย
28,28,r1_028.mp3,['อ่อแหร   หยิตสาม ทนนัก ก็ ทำ เป็น คก นี้ ควรเจวัน เข้ามา'],ตอแหล อีสัส ตอนแรกก็ทำเป็นขิง พอเดินเข้ามาทัก ทำหน้าเป็นผี
29,29,r1_029.mp3,['มัน คน ยังไง กัน ว่า ม่า จะ อุตก ให้จะ มือน เพ  และ คง ไม่ สร้างสรรค์ ด้ำ'],มึงเป็นคนยังไงกันวะ ประเดี๋ยวกูตบให้ ติ้งติ่ง แร็ปมึงไม่สร้างสรรค์ หน้ามึงเลย
30,30,r1_030.mp3,['ติม อีเยี้ย   หคะ   ฮะ   ยีสอะ'],จิ๋ม ไอ้เหี้ย อ่ะ อ่ะ ยีสอ่ะ
31,31,r1_031.mp3,['ขาบ หูเผา ที่ หัว เท่า ที ที่ คูณ อับ ไฟ   แล้วพูด งิน กระ จูง เอาว   พู กับ มนาไข'],คำกูเผาที่หัวมึง โทษทีที่กูน่ะไฟแลบ พวกมึงก็ดูเอาว่ากูกับมันน่ะ ใคร
32,32,r1_032.mp3,['แมน  เหนอ   ไม่ต้อง กงวล วื่า ฉัน จะ ถีบ เธอ ม่อ ใช้ ปูนซีเม น ์ หรือ ว่า ร็อก หืน'],แมน เนิร์ด ไม่ต้องกังวลว่าฉันจะถีบเธอ นี่มึงใ้ช้ปูนซีเมนต์หรือว่ารองพื้นมึงผิดเบอร์
33,33,r1_033.mp3,['เธอ มัก  อ๊ะ   เยื้ย เยย เยือย เหยื้ย เหยี้ยยี'],เออ เยี้ย เยี้ย เยี้ย เยี้ย เยี้ย เยี้ย
34,34,r1_034.mp3,['ดาวใต่ จู เต่ง พึง ตอน ตก เศรา   เห็น  และ อยาก ตบ   เต้าแต่ จาก ให้ เต้าต่าย มา ต'],เด้าใต ดูเต่งตึงตอนตบเต้า เห็นแล้วอยากตบเต้าไต่ อยากให้เต้าใต่มาตบ
35,35,r1_035.mp3,['เป้า วัน เต้าไตร่   เอา ไม้ คง มี น้กเฝ้า   แจก หิม โด กระ เด้า  แหก  นะ กู  ก็ ดู รึเป'],เต้าวะเต้าใต่ เอาไหมกูมีน้ำเว่าแจก หีมึงโดนกระเด้าแหก เดี๋ยวกูก็ดูดให้แต้า
36,36,r1_036.mp3,['เอาแตกวัก เอาให้ หัว นง ชำ   ห้นบุน ต ร้อง อิทาน ออกมา วา ออย หัวน'],เต้าแตก วะ เอาให้หัวนมช้ำ มึงต้องร้องอุทานออกมาว่า โอ้ยหัวนม
37,37,r1_037.mp3,['อืม   น็ก ลูง ไม่ เย็น   กู ไม่ ได้ ดู   โทร   ของ พอเสิะ เป็น ทู   ทรง รู้  หี แถม อยาง มัน ฟรี'],ฮื้อ ที่กูไม่เย็ดกูไม่ได้ดูถูก ก็มึงเสือกเป็นรูตูด รูหีแถมยังเป็นฝี
38,38,r1_038.mp3,['ต้อง รู้ตัเจ้า อ อย่าง นี้ เหี้ยว นี่ กรู อยา กลาอา ตบ นอง ตามเหี้ย   และ  จู คุณ ต่อก น้ำปาก'],ต้องรูตูด เจออีหีเหี้ยเหี่ยวนี่กูอยากลาตาย ตบนมทำเหี้ยอะไร เดี๋ยวกูตบน้ำหมาก
39,39,r1_039.mp3,['อาจาย  เลย สัด   ยัด หี ด้วย พาลาปราว   แถน เวลา ที่ ลิมสเปกซ์ งหมด นหัว ออกเมด มา ทา'],กระจายเลย สัด ยัดหีด้วยคาราบาว แทนเวลาที่ลิปสติกมึงหมดมึงคงเอาเมนส์มาทา
40,40,r1_040.mp3,['มา แพดย์    ตาง ตัว กัน ลิง   มา ตระกรู เก็า ปี ที่ แตก   ลอม ต่อ ไฟตระกูล ได้ แหวน    จะ เอา รถไฟ และ เอา'],มาทาแทน แต่งตัวกระหรี่มากเดี๋ยวกูก็ปี้ขี้แตก รอบต่อไปถ้ากูได้แหวน กูจเอาลนไฟละเอา
41,41,r1_041.mp3,['กบ็อร์ ตี้ แตก  แตบ หี และ สี อี่ ห่อ กู ไม่ รอ   รอยแว่น้ำเมิน มึก ตัว แยย'],มาจี้แตด แสบหีละสี่ห่อ กูไม่หล่อหรอกไอ้เวร เหมือนมึงสวยอะ
42,42,r1_042.mp3,['ดอก'],อีดอก
